id,GEOID10,Total:,Speak only English,Spanish or Spanish Creole:,"Speak English ""very well""","Speak English less than ""very well""","French (incl. Patois, Cajun):",French Creole:,Italian:,Portuguese or Portuguese Creole:,German:,Yiddish:,Other West Germanic languages:,Scandinavian languages:,Greek:,Russian:,Polish:,Serbo-Croatian:,Other Slavic languages:,Armenian:,Persian:,Gujarati:,Hindi:,Urdu:,Other Indic languages:,Other Indo-European languages:,Chinese:,Japanese:,Korean:,"Mon-Khmer, Cambodian:",Hmong:,Thai:,Laotian:,Vietnamese:,Other Asian languages:,Tagalog:,Other Pacific Island languages:,Navajo:,Other Native North American languages:,Hungarian:,Arabic:,Hebrew:,African languages:,Other and unspecified languages:,"$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",ApproxAvgIncome,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,LI_AVG,RB_CUSTMR
288,42101031102,1457,2134,907,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,198,0,95,71,82,157,181,153,52,115,133,104,28,73,36,0,0,40945.3125,1.9,1.94,2.53,2.44,2.3,2.15,1.91,1.23,2.81,1.62,1.02,1.45,1.941666667,277
61,42101006300,1232,2645,121,0,0,79,0,0,0,0,0,0,46,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,228,0,0,21,223,0,0,0,0,0,0,19,0,48,0,193,90,73,48,98,33,40,60,79,70,51,109,0,13,0,40919.54023,1.7,2.7,2.7,2.5,2.4,1.8,2.1,1.2,1.6,1.8,1.9,1.23,1.969166667,364
255,42101027700,2057,4527,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,436,132,156,62,102,83,93,102,102,140,172,90,69,16,0,40860.39886,2.43,2.56,3.02,2.97,2.71,1.92,2.1,2.04,3.39,1.75,1,1.12,2.250833333,264
297,42101031800,1451,2170,656,0,0,0,180,0,26,0,0,0,0,0,8,49,0,0,0,0,0,20,0,0,0,72,0,0,37,0,0,0,145,0,45,0,0,0,0,17,0,9,0,144,93,78,251,101,74,46,66,161,121,122,58,28,0,0,40848.84587,2.58,2.48,2.6,2.11,2.4,2.49,1.6,1.6,3.69,1.6,1.88,1.33,2.196666667,251
195,42101020400,1117,2463,9,0,0,31,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,93,75,69,72,142,79,79,30,63,99,47,15,29,0,11,40653.37763,2.42,2.56,2.54,1.68,2.33,2.96,1.86,3.23,2.27,1.45,1.5,1.25,2.170833333,200
93,42101009300,1616,3259,62,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,230,91,82,68,121,113,82,60,94,92,32,46,35,40,0,40611.29848,2.23,2.19,3.5,2.48,3.24,2.49,2.6,1.96,3.36,1.9,1.7,1.82,2.455833333,368
161,42101016800,1385,3862,93,0,0,17,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,224,91,51,61,124,117,119,50,67,26,93,7,58,0,21,40586.11362,2.26,2.93,3.81,2.44,3.52,2.33,2.87,2.78,3.47,2,1.63,1.75,2.649166667,376
78,42101008102,1838,4420,116,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,151,0,103,182,201,116,112,23,100,119,270,157,145,44,16,0,0,40551.00756,2.23,2.8,2.55,1.85,2.22,2.55,2.98,1.4,3,2.31,2.23,1.99,2.3425,492
81,42101008302,1626,3823,14,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,152,127,106,136,128,49,135,51,63,129,99,23,64,0,0,40261.4897,2,2.79,2.4,1.7,2.3,2.4,2.59,1.1,2.01,1.7,1.7,1.98,2.055833333,369
262,42101028300,2187,4778,344,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,95,0,0,0,23,0,0,0,0,0,0,0,0,100,0,296,246,162,194,54,107,96,133,104,84,133,79,30,46,12,40030.96847,2.03,2.61,3.28,2.74,2.98,2.89,2.18,2.15,3.39,1.39,1,1.77,2.3675,382
27,42101002100,910,1656,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,28,64,89,115,49,28,50,81,72,36,25,15,14,0,39967.90757,2.57,2.67,3.17,2.72,3.17,2.12,2.57,2.4,2.65,1.87,1.47,2.32,2.475,257
67,42101007000,1553,4524,58,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,156,141,130,168,119,72,34,83,97,51,39,5,56,10,39965.54364,2.65,2.71,2.61,2.78,2.4,2.57,3.23,2.25,3.5,2.06,2.01,1.47,2.52,381
60,42101006200,1312,3235,145,0,0,99,10,0,21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,8,0,0,79,0,0,0,203,0,0,0,0,0,0,11,0,349,0,188,140,99,97,100,116,53,69,84,148,38,16,0,13,39,39958.33333,1.97,2.7,2.67,2.6,2.4,2.01,2.42,1.5,2.12,1.9,1.95,1.29,2.1275,246
105,42101010600,503,1164,84,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,52,8,40,9,22,4,42,10,80,29,0,4,0,0,39865.67164,1.97,1.96,3.35,2.91,3.05,2.43,2.3,2.27,3.6,1.93,1.93,1.93,2.469166667,65
70,42101007200,1555,4068,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,106,199,84,84,117,68,81,84,136,115,111,39,0,19,0,39831.0539,1.7,2.7,2.69,2.49,2.39,1.81,2.11,1.2,1.62,1.81,1.9,1.24,1.971666667,567
100,42101010100,2087,4539,151,0,0,50,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,242,205,61,166,216,103,64,8,151,59,120,140,7,0,15,39714.19396,2.2,2.7,2.5,1.6,2.3,2.3,2.2,1.5,3.3,1.6,1.4,1.71,2.109166667,487
