id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
16,42101001102,1.87,2.04,2.07,1.6,1.91,1.63,1.45,1.37,1.99,2.02,1.75,1.4,134
125,42101013200,1.91,2.71,2.31,1.91,2.11,2.31,1.89,2.3,2.81,1.61,1.6,1.82,58
59,42101006100,2.32,2.7,2.63,2.75,2.4,2.3,2.85,1.89,2.79,2.05,2.02,1.38,166
271,42101029100,1.36,2.46,2.34,2.11,2.07,2.08,1.68,1.2,2.43,1.56,1.06,1.36,125
156,42101016400,3.12,3.49,3.19,2.86,2.82,3.42,2.02,2.83,3.43,2.12,2.02,1.83,431
25,42101001900,2.51,2.75,3.35,2.6,3.4,1.94,2.23,2.34,2.62,1.95,1.52,2.54,279
24,42101001800,2.45,2.15,3.12,1.78,2.85,2,1.52,1.33,2.96,2.06,1.06,1.43,267
23,42101001700,2.5,1.9,2.5,1.5,2.2,1.4,1.2,1.2,3.1,2.1,1,1.6,272
102,42101010300,2.29,2.22,3.5,2.36,3.25,2.51,2.58,1.92,3.32,1.9,1.67,1.8,231
336,42101035602,1.4,1,1.5,1.5,1.4,1.1,1.5,1.1,1.1,1.7,1,1.1,231
44,42101003702,2.53,2.35,3.25,2.26,2.92,1.79,1.63,1.93,2.07,2.23,1.33,1.46,259
10,42101000804,1.8,1.6,1.5,1.4,1.35,1.25,1.55,1.3,1.55,2.1,2.1,2.17,9
126,42101013300,1.31,1.41,2.3,1.51,2.1,1.22,1.69,1.21,1.22,1.7,1.8,1.51,114
30,42101002400,2.46,2.13,3.16,1.79,2.89,2,1.53,1.33,2.99,2.06,1.06,1.43,435
231,42101025500,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,245
66,42101006900,2.59,2.73,2.64,2.61,2.4,2.52,3.1,2.18,3.47,1.85,1.88,1.49,150
85,42101008602,2.09,2.19,2.32,1.82,2.12,2,2.2,1.31,3.4,1.7,1.4,1.98,204
164,42101017000,1.95,2.25,2.24,1.89,1.91,2.05,1.52,2.06,2.27,1.27,1.21,1.57,118
316,42101033900,1.32,2.43,2.4,2.23,2.1,2.18,1.81,1.26,2.81,1.56,1.1,1.27,190
38,42101003002,2.44,2.8,3.4,2.6,3.4,1.89,1.92,2.29,2.65,2,1.55,2.4,347
224,42101024600,2.4,2.2,3.6,2.5,3.2,2.5,2.5,2.1,2.9,1.5,1,1.47,189
274,42101029400,2.39,2.42,2.42,2.05,2.24,2.34,1.57,1.46,3.2,1.53,1.79,1.27,294
159,42101016701,2.53,2.73,3.6,2.49,3.35,2.29,2.82,2.88,3.72,2.1,1.75,1.96,305
236,42101026000,1.2,2,2.1,1.5,1.9,1.6,1.3,1.1,2,1.9,1,1.47,166
194,42101020300,2.45,2.94,2.64,2.73,2.37,2.78,2.9,2.64,3.08,1.88,1.65,1.74,175
195,42101020400,2.42,2.56,2.54,1.68,2.33,2.96,1.86,3.23,2.27,1.45,1.5,1.25,200
232,42101025600,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,230
301,42101032300,1.91,2.27,1.98,1.94,1.86,1.96,1.52,1.14,2.01,1.37,1.51,1.13,271
289,42101031200,1.91,1.83,3.07,2.77,2.78,2.3,1.69,1.78,3.12,1.69,1.12,1.58,152
68,42101007101,2.7,2.7,2.6,2.9,2.4,2.6,3.3,2.3,3.5,2.2,2.1,1.47,306
128,42101013402,1.56,1.5,2.08,1.47,1.88,1.22,1.64,1.22,1.36,1.8,1.88,1.66,166
283,42101030700,1.49,2.4,2,1.7,1.8,1.6,1.2,1,1.21,1.5,1,1.49,146
119,42101012100,1.8,2.7,2.2,1.5,1.8,1.3,1.8,1.2,2,1.8,1.4,1.71,117
269,42101028902,2.46,2.96,2.44,2.62,2.15,2.52,3.18,2.72,3.15,1.82,1.72,1.61,263
137,42101014200,2.4,2.3,2,1.9,1.7,1.9,1.3,1.7,1.6,1.6,1.5,1.08,256
222,42101024400,2.1,2.59,2.31,2.4,2.1,2.5,2.5,2,2.4,2.09,1.79,2.02,177
153,42101016100,2.4,2.9,2.6,2.3,2.3,2.69,2,2.01,2.11,2.09,1.89,1.79,501
200,42101020900,1.4,1.5,1.3,1.2,1.2,1.2,1.8,1.1,1.3,1.5,1,1.1,185
237,42101026100,1.32,1.83,2.01,1.33,1.77,1.84,1.25,1.3,1.79,2.14,1,1.57,136
4,42101000402,1.57,1.51,1.5,1.4,1.37,1.22,1.57,1.3,1.43,2.1,2.1,2.18,15
170,42101017500,2.59,3.09,2.79,2.89,2.49,2.89,3.1,2.89,3.39,1.8,1.6,1.62,507
101,42101010200,2.6,2.4,3.5,1.7,3.3,2.6,2.5,1.7,3.1,1.9,1.5,1.71,317
50,42101004101,2.6,2.2,2.57,2.1,2.37,1.5,1.34,2.01,3.25,2.12,1.22,1.52,275
