piece,voices_p6_up,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_final_tone,stop_measure,cadence_kind,cadence_kind_before,cadence_kind_after,cadence_final_tone_before,cadence_final_tone_after,phrase_length
Je ne suis pas si sot berger,None,None,18,None,None,18,NoCadence,Authentic+NoCadence,NoCadence+CadInCad+Authentic,G+G,None+B-flat+B-flat,1
Je ne suis pas si sot berger,None,None,18,None,None,20,NoCadence,Authentic+NoCadence+NoCadence,Authentic,G+G+None,B-flat,3
Je ne suis pas si sot berger,None,None,16,None,G,16,Authentic,NoCadence,NoCadence+NoCadence+NoCadence,G,G+None+None,1
Je ne suis pas si sot berger,None,None,11,None,G,13,NoCadence,Authentic,Authentic+NoCadence,G,G+G,3
Je ne suis pas si sot berger,None,None,8,None,G,8,Authentic,Authentic+Authentic,NoCadence,G+G,G,1
Je ne suis pas si sot berger,None,None,4,None,G,5,Authentic,None,Authentic,None,G,2
Je ne suis pas si sot berger,None,None,7,None,G,8,Authentic,Authentic,Authentic,G,G,2
Je ne suis pas si sot berger,None,None,5,None,G,5,Authentic,Authentic,Authentic+Authentic,G,G+G,1
Si je cuidois (pour gemir et complaindre),None,None,27,None,G,29,Authentic,Authentic,None,D,None,3
Si je cuidois (pour gemir et complaindre),None,None,24,None,D,25,Authentic,Phrygian,Authentic+Authentic,D,G+G,2
Si je cuidois (pour gemir et complaindre),None,None,28,None,G,29,Authentic,Authentic,None,D,None,2
Si je cuidois (pour gemir et complaindre),None,None,21,None,D,22,Phrygian,Authentic,Authentic,B-flat,D,2
Si je cuidois (pour gemir et complaindre),None,None,16,None,B-flat,17,Authentic,Authentic+Authentic,Phrygian,D+B-flat,D,2
Si je cuidois (pour gemir et complaindre),None,None,15,None,B-flat,16,Authentic,Authentic,Authentic,D,B-flat,2
Si je cuidois (pour gemir et complaindre),None,None,12,None,D,13,Authentic,Authentic,Authentic,G,D,2
Si je cuidois (pour gemir et complaindre),None,None,13,None,D,13,Authentic,Authentic+Authentic,Authentic+Authentic,G+D,B-flat+B-flat,1
Si je cuidois (pour gemir et complaindre),None,None,8,None,G,9,Authentic,CadInCad,Authentic+Authentic,D,D+D,2
Si je cuidois (pour gemir et complaindre),None,None,3,None,D,4,Authentic,None,Authentic+CadInCad,None,D+D,2
Si je cuidois (pour gemir et complaindre),None,None,4,None,D,4,Authentic,Authentic,CadInCad,D,D,1
Si je cuidois (pour gemir et complaindre),None,None,4,None,D,6,CadInCad,Authentic+Authentic,Authentic,D+D,G,3
Si l'amyitié n'est que conjonction,None,None,21,None,A,21,Phrygian,CadInCad+CadInCad,None,D+D,None,1
Si l'amyitié n'est que conjonction,None,None,15,None,D,16,CadInCad,Authentic,Phrygian,D,A,2
Si l'amyitié n'est que conjonction,None,None,14,None,D,16,CadInCad,Authentic,Phrygian,D,A,3
Si l'amyitié n'est que conjonction,None,None,10,None,D,10,Authentic,Authentic+Authentic,CadInCad+CadInCad,A+D,D+D,1
Si l'amyitié n'est que conjonction,None,None,9,None,D,10,Authentic,Authentic,Authentic,A,D,2
Si l'amyitié n'est que conjonction,None,None,4,None,A,4,Authentic,Authentic,Authentic+Authentic,A,D+D,1
Si l'amyitié n'est que conjonction,None,None,3,None,A,4,Authentic,None,Authentic,None,A,2
Faisons le dire mensonger,None,None,25,None,D,26,Authentic,Authentic,Authentic,F,D,2
Faisons le dire mensonger,None,None,26,None,D,26,Authentic,Authentic+Authentic,None,F+D,None,1
Faisons le dire mensonger,None,None,19,None,F,20,Authentic,Authentic,Authentic+Authentic,A,D+D,2
Faisons le dire mensonger,None,None,15,None,A,16,Authentic,Authentic,Authentic,A,F,2
Faisons le dire mensonger,None,None,9,None,A,10,Authentic,Authentic,Authentic,A,A,2
Faisons le dire mensonger,None,None,4,None,A,5,Authentic,None,Authentic,None,A,2
Faisons le dire mensonger,None,None,5,None,A,5,Authentic,Authentic,Authentic,A,A,1
Je ne cognois femme en ceste contrée,None,None,38,None,E,39,Phrygian,Phrygian+Authentic,None,A+F,None,2
Je ne cognois femme en ceste contrée,None,None,34,None,A,35,Phrygian,Phrygian+Authentic,Phrygian,A+F,E,2
Je ne cognois femme en ceste contrée,None,None,33,None,F,34,Authentic,Phrygian,Phrygian+Authentic,A,A+F,2
Je ne cognois femme en ceste contrée,None,None,34,None,F,34,Authentic,Phrygian+Authentic,Phrygian,A+F,E,1
Je ne cognois femme en ceste contrée,None,None,29,None,A,30,Phrygian,Authentic,Authentic+Phrygian+Authentic,A,F+A+F,2
Je ne cognois femme en ceste contrée,None,None,24,None,A,25,Authentic,Authentic,Authentic,D,A,2
Je ne cognois femme en ceste contrée,None,None,25,None,A,25,Authentic,Authentic+Authentic,Phrygian,D+A,A,1
Je ne cognois femme en ceste contrée,None,None,10,None,D,11,Authentic,None,Authentic+Authentic,None,A+A,2
Recepte pour un flux de bourse,None,None,33,None,G,34,Authentic,CadInCad+CadInCad+Authentic,Plagal,C+C+C,G,2
Recepte pour un flux de bourse,None,None,36,None,G,37,Plagal,Authentic+Authentic,None,G+G,None,2
Recepte pour un flux de bourse,None,None,29,None,C,30,CadInCad,NoCadence+Authentic,Authentic+Authentic,None+G,G+G,2
Recepte pour un flux de bourse,None,None,29,None,C,30,Authentic,NoCadence+Authentic,Authentic+Authentic,None+G,G+G,2
Recepte pour un flux de bourse,None,None,28,None,C,30,CadInCad,NoCadence,Authentic+Authentic,None,G+G,3
Recepte pour un flux de bourse,None,None,25,None,None,27,NoCadence,Authentic,Authentic+CadInCad+CadInCad+Authentic,C,G+C+C+C,3
Recepte pour un flux de bourse,None,None,22,None,C,23,Authentic,Authentic+Authentic+Authentic,Authentic,C+C+C,C,2
Recepte pour un flux de bourse,None,None,23,None,C,23,Authentic,Authentic+Authentic,NoCadence,C+C,None,1
Recepte pour un flux de bourse,None,None,18,None,C,19,Authentic,NoCadence,Authentic+Authentic,None,C+C,2
Recepte pour un flux de bourse,None,None,10,None,None,13,NoCadence,Authentic+Authentic,Authentic+Authentic,G+G,C+C,4
Recepte pour un flux de bourse,None,None,6,None,G,7,Authentic,Authentic,NoCadence,G,None,2
Tels menus plaidz conferment les amours,None,None,36,None,G,37,Authentic,Plagal,None,C,None,2
Tels menus plaidz conferment les amours,None,None,28,None,C,29,Authentic,Authentic,Plagal,C,C,2
Tels menus plaidz conferment les amours,None,None,16,None,None,16,NoCadence,Authentic+Authentic,Authentic+NoCadence,G+G,C+None,1
Tels menus plaidz conferment les amours,None,None,17,None,C,18,Authentic,Authentic+Authentic+NoCadence,NoCadence,G+G+None,None,2
Tels menus plaidz conferment les amours,None,None,17,None,None,19,NoCadence,Authentic+Authentic+NoCadence,NoCadence,G+G+None,None,3
Tels menus plaidz conferment les amours,None,None,4,None,G,5,Authentic,Authentic,Authentic+Authentic,C,G+G,2
Tels menus plaidz conferment les amours,None,None,10,None,G,12,Authentic,Authentic+Authentic,NoCadence+Authentic+NoCadence,G+G,None+C+None,3
Jamais amour sans guerre n'est parfaict,None,None,35,None,G,36,Authentic,Authentic,None,C,None,2
Jamais amour sans guerre n'est parfaict,None,None,31,None,None,32,NoCadence,Authentic+Authentic,Authentic,C+C,C,2
Jamais amour sans guerre n'est parfaict,None,None,15,None,G,16,Plagal,Authentic,Plagal,G,G,2
Jamais amour sans guerre n'est parfaict,None,None,5,None,G,6,Authentic,None,Authentic,None,C,2
Jamais amour sans guerre n'est parfaict,None,None,6,None,C,7,Authentic,Authentic,Authentic,G,G,2
Qui diable nous a faict ces jours,None,None,31,None,C,31,Authentic,Authentic+NoCadence,Plagal,C+None,E,1
Qui diable nous a faict ces jours,None,None,15,None,E,15,Phrygian,Plagal+Plagal,NoCadence,C+C,None,1
Qui diable nous a faict ces jours,None,None,13,None,C,14,Plagal,None,NoCadence+Phrygian,None,None+E,2
Jehan se jouant un jour avec Jehannette,S,None,34,T,G,35,Authentic,Authentic,Plagal,C,C,2
Jehan se jouant un jour avec Jehannette,None,None,23,None,G,24,Authentic,None,NoCadence,None,None,2
Jehan se jouant un jour avec Jehannette,None,None,20,None,G,21,CAD NDLT,Authentic+Phrygian,Authentic,C+E,G,2
Jehan se jouant un jour avec Jehannette,None,None,14,None,E,15,Phrygian,Plagal,CAD NDLT+CAD NDLT,C,G+G,2
Jehan se jouant un jour avec Jehannette,None,None,10,None,C,11,Plagal,Authentic,Authentic+Phrygian,C,C+E,2
Quelque yvrongne de par le monde,None,None,43,None,C,44,CadInCad,Authentic,None,C,None,2
Quelque yvrongne de par le monde,None,None,40,None,C,41,Authentic,NoCadence,CadInCad+CadInCad,None,C+C,2
Quelque yvrongne de par le monde,None,None,35,None,None,37,NoCadence,Authentic+Authentic,NoCadence,G+G,None,3
Quelque yvrongne de par le monde,None,None,33,None,G,35,Authentic,Authentic+Authentic,NoCadence,G+G,None,3
Quelque yvrongne de par le monde,None,None,28,None,G,29,Authentic,NoCadence+CAD NDLT,Authentic+Authentic,None+G,G+G,2
Quelque yvrongne de par le monde,None,None,27,None,G,28,CAD NDLT,NoCadence,Authentic,None,G,2
Quelque yvrongne de par le monde,None,None,23,None,None,25,NoCadence,Authentic,NoCadence,G,None,3
Quelque yvrongne de par le monde,None,None,13,None,C,14,Authentic,Authentic,NoCadence,C,None,2
Quelque yvrongne de par le monde,None,None,4,None,None,6,NoCadence,None,NoCadence+Authentic,None,None+C,3
"Si je te voy, qui est ce que desire",None,None,24,None,C,25,Authentic,NoCadence+NoCadence,Authentic,None+None,C,2
"Si je te voy, qui est ce que desire",None,None,19,None,C,20,Plagal,Authentic,NoCadence+NoCadence,C,None+None,2
"Si je te voy, qui est ce que desire",None,None,20,None,None,21,NoCadence,Authentic+Plagal,Authentic+Authentic,C+C,C+C,2
"Si je te voy, qui est ce que desire",None,None,7,None,C,8,Authentic,Plagal,Authentic,E,C,2
"Si je te voy, qui est ce que desire",S,None,1,T,C,3,Authentic,None,Plagal,None,E,3
Puisqu'à t'aimer ne reçoy que tourment,None,None,18,None,G,19,Authentic,Authentic+Authentic,None,G+G,None,2
Puisqu'à t'aimer ne reçoy que tourment,None,None,14,None,G,15,Authentic,Authentic+Authentic,Authentic+Authentic,C+C,G+G,2
Puisqu'à t'aimer ne reçoy que tourment,None,None,9,None,C,10,Authentic,Authentic,Authentic+Authentic,C,G+G,2
Un jour dormoit Colin en my des prez,S,None,42,T,F,43,Authentic,Authentic,None,F,None,2
Un jour dormoit Colin en my des prez,None,None,39,None,F,40,Authentic,Authentic+Authentic,Authentic+Authentic,C+C,F+F,2
Un jour dormoit Colin en my des prez,S,None,36,T,C,37,Authentic,CAD NDLT,Authentic,F,F,2
Un jour dormoit Colin en my des prez,None,None,32,None,F,33,CAD NDLT,Authentic+Authentic+Authentic,CAD NDLT,C+C+C,F,2
Un jour dormoit Colin en my des prez,None,None,28,None,C,29,Authentic,Authentic+Authentic,CAD NDLT+CAD NDLT,C+C,F+F,2
Un jour dormoit Colin en my des prez,S,None,28,T,C,29,Authentic,Authentic+Authentic,CAD NDLT+CAD NDLT,C+C,F+F,2
Un jour dormoit Colin en my des prez,S,None,25,T,C,26,Authentic,Plagal,Authentic+Authentic+Authentic,G,C+C+C,2
Un jour dormoit Colin en my des prez,S,None,17,T,F,18,Authentic,Authentic+NoCadence,Plagal,C+None,G,2
Un jour dormoit Colin en my des prez,None,None,13,None,None,13,NoCadence,Authentic,Authentic+Authentic,F,F+F,1
Un jour dormoit Colin en my des prez,None,None,5,None,F,6,CAD NDLT,NoCadence+NoCadence,Authentic,None+None,F,2
Un jour dormoit Colin en my des prez,None,None,3,None,None,3,NoCadence,None,NoCadence+CAD NDLT,None,None+F,1
Il est permis trouver au lict s'amie,None,None,31,None,F,32,Authentic,NoCadence,None,None,None,2
Il est permis trouver au lict s'amie,None,None,26,None,None,27,NoCadence,Authentic+Authentic,NoCadence,G+G,None,2
Il est permis trouver au lict s'amie,None,None,23,None,G,24,Authentic,NoCadence,NoCadence+NoCadence,None,None+None,2
Il est permis trouver au lict s'amie,None,None,17,None,C,18,Authentic,Authentic,NoCadence,C,None,2
Où cerchez-vous du dieu d'amour l'empire,None,None,32,None,F,33,CadInCad,NoCadence+Authentic,Authentic,None+F,F,2
Où cerchez-vous du dieu d'amour l'empire,None,None,29,None,None,31,NoCadence,Authentic+CadInCad+CadInCad+Authentic+Plagal+Phrygian,CadInCad+NoCadence,C+C+C+C+D+A,F+None,3
Où cerchez-vous du dieu d'amour l'empire,None,None,32,None,None,34,NoCadence,NoCadence+Authentic,Authentic,None+F,F,3
Où cerchez-vous du dieu d'amour l'empire,None,None,28,None,A,29,Phrygian,Authentic+CadInCad+CadInCad+Authentic,NoCadence+Authentic,C+C+C+C,None+F,2
Où cerchez-vous du dieu d'amour l'empire,None,None,24,None,C,25,CadInCad,CAD NDLT+Authentic,Plagal+Phrygian+NoCadence,C+C,D+A+None,2
Où cerchez-vous du dieu d'amour l'empire,None,None,24,None,C,25,Authentic,CAD NDLT+Authentic,Plagal+Phrygian+NoCadence,C+C,D+A+None,2
Où cerchez-vous du dieu d'amour l'empire,None,None,23,None,C,25,CadInCad,CAD NDLT+Authentic,Plagal+Phrygian+NoCadence,C+C,D+A+None,3
Où cerchez-vous du dieu d'amour l'empire,None,None,19,None,C,20,Authentic,Authentic+CadInCad,Authentic+CadInCad+CadInCad+Authentic,G+G,C+C+C+C,2
Où cerchez-vous du dieu d'amour l'empire,None,None,14,None,G,15,CadInCad,Authentic+Authentic,CAD NDLT+Authentic,F+F,C+C,2
Où cerchez-vous du dieu d'amour l'empire,S,None,9,T,F,10,Authentic,CAD NDLT+Authentic,Authentic+CadInCad,C+C,G+G,2
Où cerchez-vous du dieu d'amour l'empire,None,None,1,None,F,2,Authentic,None,CAD NDLT+Authentic,None,C+C,2
Où cerchez-vous du dieu d'amour l'empire,None,None,5,None,C,6,Authentic,Authentic,Authentic+Authentic,F,F+F,2
Puisque tu veulx mettre fin à ta plaincte,None,None,25,None,G,26,Authentic,Authentic,Plagal,A,E,2
Puisque tu veulx mettre fin à ta plaincte,None,None,25,None,G,26,CAD NDLT,Authentic,Plagal,A,E,2
Puisque tu veulx mettre fin à ta plaincte,None,None,15,None,E,16,Phrygian,Authentic,NoCadence,A,None,2
Puisque tu veulx mettre fin à ta plaincte,None,None,6,None,C,7,Authentic,None,Authentic,None,A,2
Je ne veulx plus de mon malheur me plaindre,None,None,24,None,C,25,Authentic,Authentic+Authentic,NoCadence+Authentic,A+A,None+C,2
Je ne veulx plus de mon malheur me plaindre,None,None,25,None,C,26,Authentic,Authentic+Authentic+Authentic,Phrygian,A+A+C,E,2
Je ne veulx plus de mon malheur me plaindre,None,None,21,None,A,22,Authentic,CAD NDLT+Authentic,Authentic+NoCadence+Authentic,G+G,C+None+C,2
Je ne veulx plus de mon malheur me plaindre,None,None,16,None,G,17,Authentic,Authentic,Authentic+Authentic,C,A+A,2
Je ne veulx plus de mon malheur me plaindre,None,None,3,None,E,4,Phrygian,Phrygian,Authentic,E,C,2
Quand je voy ma mignonne rire,None,None,18,None,G,20,Authentic,NoCadence,None,None,None,3
Quand je voy ma mignonne rire,None,None,15,None,D,16,Authentic,Plagal,NoCadence,A,None,2
Quand je voy ma mignonne rire,None,None,12,None,E,13,Authentic,Authentic+Authentic,NoCadence+Plagal,D+D,None+A,2
Quand je voy ma mignonne rire,None,None,13,None,A,13,Plagal,Authentic+Authentic+NoCadence,Authentic+NoCadence,D+E+None,D+None,1
Quand je voy ma mignonne rire,None,None,11,None,D,11,Authentic,Authentic,Authentic+NoCadence+Plagal,D,E+None+A,1
Quand je voy ma mignonne rire,None,None,9,None,D,9,Authentic,Plagal+NoCadence+NoCadence,Authentic+Authentic,G+None+None,D+E,1
Quand je voy ma mignonne rire,None,None,6,None,G,7,Plagal,Authentic,NoCadence+Authentic,D,None+D,2
Quand je voy ma mignonne rire,None,None,6,None,None,7,NoCadence,Authentic,NoCadence+Authentic,D,None+D,2
Quand je voy ma mignonne rire,None,None,2,None,A,2,Phrygian,None,NoCadence+NoCadence,None,None+None,1
Quand je voy ma mignonne rire,None,None,2,None,None,3,NoCadence,Phrygian,NoCadence+Authentic,A,None+D,2
Ce disoit une jeune dame,None,None,40,None,G,42,Authentic,Phrygian+NoCadence,None,A+None,None,3
Ce disoit une jeune dame,None,None,35,None,None,36,NoCadence,Authentic,Authentic+Authentic,D,G+G,2
Ce disoit une jeune dame,None,None,25,None,G,26,Authentic,Authentic,Authentic,B-flat,D,2
Ce disoit une jeune dame,None,None,18,None,G,19,Authentic,Phrygian,Authentic,D,B-flat,2
Ce disoit une jeune dame,None,None,18,None,None,19,NoCadence,Phrygian,Authentic,D,B-flat,2
Ce disoit une jeune dame,None,None,14,None,D,15,Phrygian,NoCadence,Phrygian+Phrygian,None,None+D,2
Ce disoit une jeune dame,None,None,15,None,D,15,Phrygian,NoCadence+Phrygian+Phrygian,Authentic+NoCadence,None+D+None,G+None,1
Ce disoit une jeune dame,None,None,9,None,D,10,Authentic,NoCadence,NoCadence,None,None,2
Ce disoit une jeune dame,None,None,12,None,None,13,NoCadence,Authentic,Phrygian+Phrygian+Phrygian,D,D+None+D,2
Ce disoit une jeune dame,None,None,6,None,A,7,Phrygian,NoCadence,NoCadence,None,None,2
"J'endure tout, c'est bien raison",None,None,26,None,D,27,Authentic,Plagal,Plagal,D,D,2
"J'endure tout, c'est bien raison",None,None,23,None,D,24,Plagal,Plagal,Plagal+Authentic,D,D+D,2
"J'endure tout, c'est bien raison",None,None,20,None,D,21,Plagal,Authentic,Plagal+Plagal,D,D+D,2
"J'endure tout, c'est bien raison",None,None,3,None,D,4,Authentic,None,NoCadence,None,None,2
"Ça ces beaux yeux, ça ceste bouche",None,None,29,None,B-flat,30,Phrygian,NoCadence+Authentic,Authentic,None+F,G,2
"Ça ces beaux yeux, ça ceste bouche",None,None,28,None,F,28,Authentic,Authentic+NoCadence,Phrygian+Phrygian,B-flat+None,A+B-flat,1
"Ça ces beaux yeux, ça ceste bouche",None,None,27,None,None,28,NoCadence,Authentic,Authentic+Phrygian+Phrygian,B-flat,F+A+B-flat,2
"Ça ces beaux yeux, ça ceste bouche",S,None,22,T,D,23,Authentic,Authentic,Authentic,G,B-flat,2
"Ça ces beaux yeux, ça ceste bouche",None,None,19,None,G,20,Authentic,Authentic,Authentic+Authentic,G,D+D,2
"Ça ces beaux yeux, ça ceste bouche",None,None,17,None,G,18,Authentic,NoCadence,Authentic,None,G,2
"Ça ces beaux yeux, ça ceste bouche",None,None,15,None,None,15,NoCadence,Plagal+NoCadence,Authentic,D+None,G,1
"Ça ces beaux yeux, ça ceste bouche",None,None,13,None,D,14,Plagal,Authentic,NoCadence+NoCadence,G,None+None,2
"Ça ces beaux yeux, ça ceste bouche",None,None,14,None,None,15,NoCadence,Authentic+Plagal,NoCadence,G+D,None,2
"Ça ces beaux yeux, ça ceste bouche",None,None,5,None,D,6,Authentic,Authentic,Authentic,D,G,2
"Ça ces beaux yeux, ça ceste bouche",None,None,4,None,D,5,Authentic,None,Authentic,None,D,2
Musiciens qui chantez à plaisir,None,None,64,None,G,65,CadInCad,Authentic+Authentic,None,G+G,None,2
Musiciens qui chantez à plaisir,None,None,60,None,G,61,Authentic,Phrygian,Authentic+CadInCad,D,G+G,2
Musiciens qui chantez à plaisir,None,None,55,None,D,56,Phrygian,Authentic+Authentic,Authentic+Authentic,G+D,G+G,2
Musiciens qui chantez à plaisir,None,None,38,None,G,39,Authentic,Authentic+Authentic+CadInCad,Authentic,D+D+D,G,2
Musiciens qui chantez à plaisir,None,None,31,None,D,32,Authentic,Authentic,CadInCad+Authentic,G,G+G,2
Musiciens qui chantez à plaisir,None,None,31,None,D,32,CadInCad,Authentic,CadInCad+Authentic,G,G+G,2
"Long temps y a, innocente pucelle",None,None,37,None,G,38,Authentic,Authentic,None,G,None,2
"Long temps y a, innocente pucelle",None,None,23,None,D,24,Plagal,Authentic+Authentic,Plagal,B-flat+B-flat,D,2
"Long temps y a, innocente pucelle",None,None,17,None,B-flat,19,Authentic,Plagal,Plagal+Plagal,F,D+D,3
"Long temps y a, innocente pucelle",S,None,10,T,G,12,Authentic,Authentic,Plagal,D,F,3
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,43,None,G,43,Plagal,CadInCad+Authentic+Plagal,None,G+G+G,None,1
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,40,None,G,42,CadInCad,NoCadence,Plagal+Plagal,None,G+G,3
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,41,None,G,42,Authentic,NoCadence,Plagal+Plagal,None,G+G,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,42,None,G,43,Plagal,CadInCad+Authentic,Plagal,G+G,G,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,37,None,None,37,NoCadence,Authentic+NoCadence,CadInCad+Authentic,D+None,G+G,1
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,36,None,None,37,NoCadence,Authentic,NoCadence,D,None,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,30,None,G,31,Authentic,Plagal,Authentic,D,G,2
Madame je vous remercie/ De m'avoir esté si rebourse,S,None,24,Ct,B-flat,25,Authentic,Authentic,Plagal,D,D,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,17,None,D,18,Authentic,Authentic+Authentic,Authentic,G+G,D,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,13,None,G,14,Authentic,Authentic,Authentic,D,D,2
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,13,None,G,15,Authentic,Authentic,Authentic,D,D,3
Madame je vous remercie/ De m'avoir esté si rebourse,None,None,4,None,D,5,Authentic,Authentic,Authentic,D,D,2
Si vous aviez comme moy faim,None,None,25,None,G,27,Authentic,Phrygian,None,D,None,3
Si vous aviez comme moy faim,None,None,25,None,G,26,Authentic,Phrygian,None,D,None,2
Si vous aviez comme moy faim,None,None,11,None,B-flat,12,Authentic,Authentic+Authentic+Authentic,Authentic,G+G+G,D,2
Si vous aviez comme moy faim,None,None,11,None,B-flat,13,Authentic,Authentic+Authentic+Authentic,Authentic,G+G+G,D,3
Si vous aviez comme moy faim,None,None,6,None,G,8,Authentic,NoCadence,Authentic+Authentic,None,B-flat+B-flat,3
Si vous aviez comme moy faim,None,None,6,None,G,7,Authentic,NoCadence,Authentic+Authentic,None,B-flat+B-flat,2
Si vous aviez comme moy faim,None,None,3,None,None,4,NoCadence,None,Authentic+Authentic+Authentic,None,G+G+G,2
Quand j'ay esté quinze heures avec vous,None,None,18,None,G,18,Plagal,Authentic+Plagal+Authentic,None,D+G+G,None,1
Quand j'ay esté quinze heures avec vous,None,None,17,None,G,17,Authentic,Authentic,Plagal,D,G,1
Quand j'ay esté quinze heures avec vous,None,None,10,None,D,10,Authentic,NoCadence,Plagal+Authentic+Plagal,None,G+G+G,1
Quand j'ay esté quinze heures avec vous,None,None,7,None,None,7,NoCadence,Authentic,NoCadence,B-flat,None,1
Quand j'ay esté quinze heures avec vous,None,None,7,None,None,8,NoCadence,Authentic+NoCadence,Authentic,B-flat+None,D,2
Quand j'ay esté quinze heures avec vous,None,None,2,None,G,3,Authentic,None,Authentic,None,B-flat,2
Quand j'ay esté quinze heures avec vous,None,None,2,None,B-flat,3,Authentic,None,Authentic,None,B-flat,2
Vous estes un fascheux homme,None,None,34,None,None,35,NoCadence,NoCadence+Plagal,Authentic,None+D,G,2
Vous estes un fascheux homme,None,None,32,None,None,33,NoCadence,Authentic+No cadence,NoCadence,D+None,None,2
Vous estes un fascheux homme,None,None,32,None,D,32,Plagal,Authentic+No cadence,NoCadence,D+None,None,1
Vous estes un fascheux homme,None,None,29,None,D,30,Authentic,NoCadence,NoCadence+Plagal,None,None+D,2
Vous estes un fascheux homme,None,None,29,None,None,30,No cadence,NoCadence,NoCadence+Plagal,None,None+D,2
Vous estes un fascheux homme,None,None,27,None,None,28,NoCadence,Authentic+Plagal+Phrygian,Authentic+No cadence,G+G+D,D+None,2
Vous estes un fascheux homme,None,None,26,None,D,27,Phrygian,Authentic,NoCadence,G,None,2
Vous estes un fascheux homme,None,None,22,None,None,23,NoCadence,Authentic,Authentic,B-flat,G,2
Vous estes un fascheux homme,None,None,19,None,B-flat,19,Authentic,NoCadence,NoCadence,None,None,1
Vous estes un fascheux homme,None,None,16,None,None,17,NoCadence,Plagal+Phrygian,Authentic,F+A,B-flat,2
Vous estes un fascheux homme,None,None,14,None,F,14,Plagal,Authentic+Plagal,Phrygian+NoCadence,D+F,A+None,1
Vous estes un fascheux homme,None,None,13,None,F,14,Plagal,NoCadence+Authentic,Plagal+Phrygian,D+D,F+A,2
Vous estes un fascheux homme,S,None,7,T,G,8,Authentic,No cadence+NoCadence,Authentic,None+None,G,2
Vous estes un fascheux homme,None,None,5,None,None,6,No cadence,None,NoCadence+Authentic,None,None+G,2
Vous estes un fascheux homme,None,None,6,None,None,6,NoCadence,No cadence,Authentic+Authentic,None,G+G,1
J'ay le fruit tant désiré,None,None,24,None,B-flat,25,Plagal,Plagal+Authentic,Authentic,D+D,G,2
J'ay le fruit tant désiré,None,None,17,None,B-flat,18,Authentic,Authentic+Authentic,Plagal,G+G,D,2
J'ay le fruit tant désiré,None,None,13,None,G,15,Authentic,None,Authentic,None,B-flat,3
J'ay le fruit tant désiré,None,None,11,None,G,15,Authentic,Authentic+Authentic,Authentic,G+G,B-flat,5
J'ay le fruit tant désiré,None,None,7,None,G,8,Authentic,Authentic,Authentic,B-flat,G,2
C'est a moy qu'en veult ce coqu,None,None,23,None,D,24,Authentic,Plagal,Authentic,A,D,2
C'est a moy qu'en veult ce coqu,None,None,19,None,A,20,Plagal,Plagal,Authentic+Authentic,A,D+D,2
C'est a moy qu'en veult ce coqu,S,None,23,T,D,24,Authentic,Plagal,Authentic,A,D,2
C'est a moy qu'en veult ce coqu,None,None,13,None,G,14,Plagal,CAD NDLT+Authentic+CAD NDLT+Plagal,Plagal,G+G+G+G,A,2
C'est a moy qu'en veult ce coqu,None,None,12,None,G,13,Plagal,CAD NDLT+Authentic+CAD NDLT,Plagal+Plagal,G+G+G,G+A,2
C'est a moy qu'en veult ce coqu,None,None,10,None,G,11,Authentic,None,Plagal+Plagal,None,G+G,2
C'est a moy qu'en veult ce coqu,None,None,8,None,G,11,CAD NDLT,Authentic+Authentic,Plagal+Plagal,D+None,G+G,4
C'est a moy qu'en veult ce coqu,None,None,10,None,G,11,CAD NDLT,None,Plagal+Plagal,None,G+G,2
C'est a moy qu'en veult ce coqu,None,None,5,None,None,6,Authentic,NoCadence,CAD NDLT,D,G,2
C'est a moy qu'en veult ce coqu,None,None,3,None,D,3,Plagal,NoCadence+NoCadence,NoCadence,None+None,D,1
C'est a moy qu'en veult ce coqu,None,None,2,None,None,3,NoCadence,None,NoCadence+Plagal+NoCadence,None,None+D+D,2
C'est a moy qu'en veult ce coqu,None,None,3,None,D,4,NoCadence,NoCadence+NoCadence+Plagal,Authentic+Authentic,None+None+D,D+None,2
Or sus or sus qu'on se resveille,None,None,23,None,G,24,Authentic,Plagal,None,C,None,2
Or sus or sus qu'on se resveille,None,None,21,None,C,21,Plagal,Authentic+CadInCad,Authentic,A+A,G,1
Or sus or sus qu'on se resveille,None,None,18,None,A,19,Authentic,Phrygian,Plagal,E,C,2
Or sus or sus qu'on se resveille,None,None,18,None,A,19,CadInCad,Phrygian,Plagal,E,C,2
Or sus or sus qu'on se resveille,None,None,16,None,E,17,Phrygian,Authentic,Authentic+CadInCad,C,A+A,2
Or sus or sus qu'on se resveille,None,None,13,None,C,14,Authentic,Authentic,Phrygian,G,E,2
Or sus or sus qu'on se resveille,None,None,5,None,G,6,Authentic,None,Authentic,None,C,2
S'amour vous a donné mon coeur en gaige,None,None,47,None,G,48,Authentic,Authentic,Authentic,C,G,2
